"Site","Date","sample_id","FlowRate","cov2_conc","BCoV","BCoVConc","capacity_mgd","composite_freq","concentration_method","conductivity","county","do","epaid","equiv_sewage_amt","extraction_method","inhibition_adjust","inhibition_detect","inhibition_method","lod_ref","n1_lod","n1_loq","n1_ntc_amplify","n1_num_no_target_control","n1_num_ntc_amplify","N1","N1Error","n1_sars_cov2_lod","n1_sars_cov2_units","n2_lod","n2_loq","n2_ntc_amplify","n2_num_no_target_control","n2_num_ntc_amplify","N2","N2Error","n2_sars_cov2_lod","n2_sars_cov2_units","pcr_type","ph","PMMoV","Pop","quant_stan_ref","quant_stan_type","sample_collect_time","sample_location","sample_location_specify","sample_matrix","sample_type","state","temperature","RepDate","tss","wwtp_comments","zipcode","analytical_comments","unformatted_collectdate","mycustomer","AVG","wt"
"Sheboygan",2020-09-15,"525698001",11.393,38806,19.12,5.960008,18.4,"24hr-FWCmp","filtMgCl2",NA,"Sheboygan",NA,"WI0025411",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,58511,6010,NA,"Gene copies/L",33000,68000,"N",3,NA,19101,5080,"Yes","Gene copies/L","qPCR",7.2,10851430,75000,"IDT","DNA-plasm","0.25","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",5,NA,NA,NA,"53081",NA,"44089","355660",33430.8033256756,2
"Eau Claire",2020-09-15,"525703001",7.38,32089,0.1,5.960008,12,"24hr-FWCmp","filtMgCl2",1134,"Eau Claire","2.36","WI0023850",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,51471,13499,NA,"Gene copies/L",33000,68000,"N",3,NA,12706,878,"Yes","Gene copies/L","qPCR",7.4,25826815,75000,"IDT","DNA-plasm","0.25","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",8,NA,NA,NA,"54703",NA,"44089","355660",25573.2384730601,2
"La Crosse",2020-09-17,"526322001",9.62,10187,0.02,5.96,20,"24hr-FWCmp","filtMgCl2",NA,"La Crosse","1.08","WI0029581",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,16969,4281,NA,"Gene copies/L",33000,68000,"N",3,NA,3405,666,"Yes","Gene copies/L","qPCR",7.23,78716752,85000,"IDT","DNA-plasm","0.31458333333333333","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",14.4,NA,NA,NA,"54601",NA,"44091","355660",7601.27916866628,2
"Oshkosh",2020-09-17,"526326001",9.59,168596,1.01,5.96,20,"24hr-FWCmp","filtMgCl2",NA,"Winnebago","5.94","WI0025038",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,154599,7534,NA,"Gene copies/L",33000,68000,"N",3,NA,182592,8459,"No","Gene copies/L","qPCR",8.3,37065362,67000,"IDT","DNA-plasm","0.29166666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",6.5,NA,NA,NA,"54902",NA,"44091","355660",168013.513170816,2
"Manitowoc",2020-09-17,"526330001",8.143,28706,2.82,5.96,15.5,"24hr-FWCmp","filtMgCl2",NA,"Manitowoc",NA,"WI0024601",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,24416,2389,NA,"Gene copies/L",33000,68000,"N",3,NA,32996,3527,"No","Gene copies/L","qPCR",7.7,13725751,34450,"IDT","DNA-plasm","0.5","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",11.9,NA,NA,NA,"54220",NA,"44091","355660",28383.6279569755,2
"Fall UW-LakeShore",2020-09-18,"526389001",NA,305881,3.69,5.96,NA,NA,"filtMgCl2",2030,NA,NA,NA,1,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,258451,21747,NA,"Gene copies/L",33000,68000,"N",3,NA,353310,93258,"No","Gene copies/L","qPCR",7.5,149715938,NA,"IDT","DNA-plasm","0.43055555555555558",NA,NA,"Influent (Untreated Waste H2O)",NA,NA,NA,NA,112,NA,NA,NA,"44092","355590",302180.943823399,2
"Covid Sewage UW Vet",2020-09-18,"526391001",NA,38731,6.33,5.96,NA,NA,"filtMgCl2",1152,NA,NA,NA,2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,25257,535,NA,"Gene copies/L",33000,68000,"N",3,NA,52205,18741,"No","Gene copies/L","qPCR",8.5,4092915,NA,"IDT","DNA-plasm","0.33333333333333331",NA,NA,"Influent (Untreated Waste H2O)",NA,NA,NA,NA,58.3,NA,NA,NA,"44092","355590",36311.7293033532,2
"Eau Claire",2020-09-18,"526455001",7.88,1258,0.01,5.96,12,"24hr-FWCmp","filtMgCl2",1158,"Eau Claire","1.33","WI0023850",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,2515,137,NA,"Gene copies/L",33000,68000,"N",3,NA,NA,-1,"Yes","Gene copies/L","qPCR",7.25,12106567,75000,"IDT","DNA-plasm","0.25","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",10.1,NA,NA,NA,"54703",NA,"44092","355660",2515,1
"Madison",2020-09-19,"526566001",46.7,10223,0.27,5.96,56,"24hr-FWCmp","filtMgCl2",NA,"Dane",NA,"WI0024597",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,11442,1619,NA,"Gene copies/L",33000,68000,"N",3,NA,9003,3347,"Yes","Gene copies/L","qPCR",7.65,40968307,380000,"IDT","DNA-plasm",NA,"influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,NA,"53713",NA,"44093","355660",10149.4988053598,2
"Sheboygan",2020-09-18,"526687001",10.285,37566,1.12,5.96,18.4,"24hr-FWCmp","filtMgCl2",NA,"Sheboygan",NA,"WI0025411",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,46729,6509,NA,"Gene copies/L",33000,68000,"N",3,NA,28403,6344,"Yes","Gene copies/L","qPCR",7.5,22709535,75000,"IDT","DNA-plasm","0.25","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",4,NA,NA,NA,"53081",NA,"44092","355660",36431.3571940437,2
"Hudson",2020-09-19,"526697001",1.649,109293,0.24,5.96,2.2,"24hr-FWCmp","filtMgCl2",NA,"Saint Croix","9.4499999999999993","WI0024279",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,119735,6963,NA,"Gene copies/L",33000,68000,"N",3,NA,98851,14070,"No","Gene copies/L","qPCR",7.6,10307064,19680,"IDT","DNA-plasm","0.33333333333333331","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",7.3,NA,NA,NA,"54016",NA,"44093","355660",108793.035094164,2
"Stevens Point",2020-09-18,"526699001",2.139,93051,0.79,5.96,4.55,"24hr-FWCmp","filtMgCl2",932,"Portage","8.4","WI0029572",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,97093,11802,NA,"Gene copies/L",33000,68000,"N",3,NA,89010,15348,"No","Gene copies/L","qPCR",7.5,9990653,27000,"IDT","DNA-plasm","0.29166666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",2.4,NA,NA,NA,"54481",NA,"44092","355660",92963.6914606988,2
"WI Rapids",2020-09-18,"526709001",3.007,20095,2.27,5.96,5.27,"24hr-FWCmp","filtMgCl2",NA,"Wood",NA,"WI0025844",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,22206,2820,NA,"Gene copies/L",33000,68000,"N",3,NA,17985,2627,"Yes","Gene copies/L","qPCR",6.9,10587360,20000,"IDT","DNA-plasm","0.33333333333333331","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",8,NA,NA,NA,"54494",NA,"44092","355660",19984.3666399513,2
"Janesville",2020-09-19,"526711001",10.75,23415,1.19,5.96,16.1,"24hr-FWCmp","filtMgCl2",NA,"Rock",NA,"WI0030350",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,31666,4993,NA,"Gene copies/L",33000,68000,"N",3,NA,15164,5376,"Yes","Gene copies/L","qPCR",7.72,7109923,635000,"IDT","DNA-plasm","0.27430555555555552","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",1.7,NA,NA,NA,"53548",NA,"44093","355660",21913.0833978242,2
"Wausau",2020-09-19,"526712001",3.98,6017,0.39,5.96,8.2,"24hr-FWCmp","filtMgCl2",NA,"Marathon","4.4800000000000004","WI0025739",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,10838,1712,NA,"Gene copies/L",33000,68000,"N",3,NA,1195,740,"Yes","Gene copies/L","qPCR",7.6,19953040,42000,"IDT","DNA-plasm","0.33333333333333331","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",5.2,NA,NA,NA,"54401",NA,"44093","355660",3598.80674668702,2
"Appleton",2020-09-18,"526731001",8.3,991,0.1,5.96,15.5,"24hr-FWCmp","filtMgCl2",NA,"Outagamie",NA,"WI0023221",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,854,-1,NA,"Gene copies/L",33000,68000,"N",3,NA,1128,297,"Yes","Gene copies/L","qPCR",7.99,22642548,74832,"IDT","DNA-plasm",NA,"influent",NA,"Influent (Untreated Waste H2O)","composite","WI",2.5,NA,NA,NA,"54914",NA,"44092","355660",981.484589792423,2
"Kenosha",2020-09-18,"526740001",19.48,14246,1.03,5.96,28,"24hr-FWCmp","filtMgCl2",1220,"Kenosha","3.8","WI0028703",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,20779,4882,NA,"Gene copies/L",33000,68000,"N",3,NA,7714,1998,"Yes","Gene copies/L","qPCR",7.6,13202138,122000,"IDT","DNA-plasm","0.99930555555555556","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",4,NA,NA,NA,"53143",NA,"44092","355660",12660.5373503655,2
"Sun Prairie",2020-09-22,"526872001",4.03,1746,0.31,5.96,6.2,"24hr-FWCmp","filtMgCl2",NA,"Dane",NA,"WI0020478",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,3300,2613,NA,"Gene copies/L",33000,68000,"N",3,NA,192,-1,"Yes","Gene copies/L","qPCR",7.91,15408594,34926,"IDT","DNA-plasm","0.26041666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",2.4,NA,NA,NA,"53590",NA,"44096","355660",795.989949685296,2
"Madison",2020-09-22,"526895001",41.49,23623,1.09,5.96,56,"24hr-FWCmp","filtMgCl2",NA,"Dane",NA,"WI0024597",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,39145,2835,NA,"Gene copies/L",33000,68000,"N",3,NA,8102,1902,"Yes","Gene copies/L","qPCR",7.75,22508539,380000,"IDT","DNA-plasm",NA,"influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,NA,"53713",NA,"44096","355660",17808.7840685433,2
"Fall UW-Sellery",2020-09-22,"526898001",NA,1048214,1.4,5.96,NA,NA,"filtMgCl2",1110,NA,NA,NA,2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,994259,19356,NA,"Gene copies/L",33000,68000,"N",3,NA,1102169,84002,"No","Gene copies/L","qPCR",8,15056112,NA,"IDT","DNA-plasm","0.44791666666666669",NA,NA,"Influent (Untreated Waste H2O)",NA,NA,NA,NA,226,NA,NA,NA,"44096","355590",1046824.45890942,2
"Fall UW-LakeShore",2020-09-22,"526901001",NA,6533,0.02,5.96,NA,NA,"filtMgCl2",1810,NA,NA,NA,0.85,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,8720,5335,NA,"Gene copies/L",33000,68000,"N",3,NA,4345,889,"Yes","Gene copies/L","qPCR",7,121290820,NA,"IDT","DNA-plasm","0.4375",NA,NA,"Influent (Untreated Waste H2O)",NA,NA,NA,NA,3270,NA,NA,NA,"44096","355590",6155.35539185188,2
"Whitewater",2020-09-22,"527103001",1.426,51887,0.19,5.96,3.65,"24hr-FWCmp","filtMgCl2",2200,"Walworth","8.83","WI0020001",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,58476,7239,NA,"Gene copies/L",33000,68000,"N",3,NA,45297,5913,"No","Gene copies/L","qPCR",8.1,23639111,14000,"IDT","DNA-plasm","0.2986111111111111","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",7.6,NA,NA,NA,"53190",NA,"44096","355660",51466.3712729001,2
"Oconomowoc",2020-09-22,"527107001",2.764,7692,0.09,5.96,4.02,"24hr-FWCmp","filtMgCl2",NA,"Waukesha","1.63","WI0021181",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,14134,3746,NA,"Gene copies/L",33000,68000,"N",3,NA,1249,1231,"Yes","Gene copies/L","qPCR",7.8,20587901,34135,"IDT","DNA-plasm","0.30208333333333331","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",12,NA,NA,NA,"53066",NA,"44096","355660",4201.59088917519,2
"Clintonville",2020-09-22,"527116001",0.506,31253,0.56,5.96,0.679,"24hr-FWCmp","filtMgCl2",NA,"Waupaca","6.4","WI0021466",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,47468,2359,NA,"Gene copies/L",33000,68000,"N",3,NA,15039,4980,"Yes","Gene copies/L","qPCR",7.9,16110184,4455,"IDT","DNA-plasm","0.2986111111111111","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",4,NA,NA,NA,"54929",NA,"44096","355660",26718.3691867599,2
"Appleton",2020-09-22,"527129001",7.7,11085,0.09,5.96,15.5,"24hr-FWCmp","filtMgCl2",NA,"Outagamie",NA,"WI0023221",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,16189,11931,NA,"Gene copies/L",33000,68000,"N",3,NA,5981,2570,"Yes","Gene copies/L","qPCR",7.9,31673761,74832,"IDT","DNA-plasm",NA,"influent",NA,"Influent (Untreated Waste H2O)","composite","WI",2,NA,NA,NA,"54914",NA,"44096","355660",9840.04110763771,2
"Baraboo",2020-09-22,"527131001",1.7,6111,0.02,5.96,2.53,"24hr-FWCmp","filtMgCl2",NA,"Sauk",NA,"WI0020605",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,8580,1624,NA,"Gene copies/L",33000,68000,"N",3,NA,3641,628,"Yes","Gene copies/L","qPCR",NA,13757675,14000,"IDT","DNA-plasm","0.3125","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",3.1,NA,NA,NA,"53913",NA,"44096","355660",5589.25576441086,2
"Marshfield",2020-09-22,"527135001",2.172,680,0.1,5.96,4.63,"24hr-FWCmp","filtMgCl2",NA,"Wood","5.4","WI0021024",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,1361,-1,NA,"Gene copies/L",33000,68000,"N",3,NA,NA,-1,"Yes","Gene copies/L","qPCR",7.1,10073894,19316,"IDT","DNA-plasm","0.33680555555555558","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",17.7,NA,NA,NA,"54449",NA,"44096","355660",1361,1
"Sheboygan",2020-09-22,"527138001",10.136,40745,0.26,5.96,18.4,"24hr-FWCmp","filtMgCl2",NA,"Sheboygan",NA,"WI0025411",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,52298,5481,NA,"Gene copies/L",33000,68000,"N",3,NA,29192,1912,"Yes","Gene copies/L","qPCR",7.4,12456882,75000,"IDT","DNA-plasm","0.25","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",4,NA,NA,NA,"53081",NA,"44096","355660",39072.7938084801,2
"Wolf",2020-09-22,"527152001",1.823,80377,0.35,5.96,2.63,"24hr-FWCmp","filtMgCl2",NA,"Shawano",NA,"WI0028452",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,121162,7945,NA,"Gene copies/L",33000,68000,"N",3,NA,39591,5818,"No","Gene copies/L","qPCR",7.7,8309856,18000,"IDT","DNA-plasm",NA,"influent",NA,"Influent (Untreated Waste H2O)","composite","WI",3,NA,NA,NA,"54166",NA,"44096","355660",69259.8349839212,2
"Neopit",2020-09-22,"527161001",0.1,119155,0.14,5.96,0.17,"24hr-FWCmp","filtMgCl2",NA,"Menominee",NA,"WI0073059",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,188021,18495,NA,"Gene copies/L",33000,68000,"N",3,NA,50289,3122,"No","Gene copies/L","qPCR",NA,6748413,1000,"IDT","DNA-plasm","0.38541666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,NA,"54135",NA,"44096","355660",97238.819763508,2
"Wolf River",2020-09-22,"527172001",0.013,648108,0.82,5.96,0.065,"24hr-FWCmp","filtMgCl2",NA,"Menominee",NA,"WI0071307",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,900329,102242,NA,"Gene copies/L",33000,68000,"N",3,NA,395887,81177,"No","Gene copies/L","qPCR",NA,2841628,1000,"IDT","DNA-plasm","0.41666666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,NA,"54135",NA,"44096","355660",597016.37064908,2
"Keshena",2020-09-22,"527180001",0.0936,376594,1.09,5.96,0.35,"24hr-FWCmp","filtMgCl2",NA,"Menominee",NA,"WI0071315",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,468396,46102,NA,"Gene copies/L",33000,68000,"N",3,NA,284791,30102,"No","Gene copies/L","qPCR",NA,5374313,2500,"IDT","DNA-plasm","0.44444444444444442","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,NA,"54135",NA,"44096","355660",365232.75487831,2
"Marinette",2020-09-22,"527185001",2,38652,1.35,5.96,7.8,"24hr-FWCmp","filtMgCl2",NA,"Marinette",NA,"WI0026182",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,62395,10242,NA,"Gene copies/L",33000,68000,"N",3,NA,14908,1975,"Yes","Gene copies/L","qPCR",NA,26962032,10608,"IDT","DNA-plasm","0.29166666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",4.6,NA,NA,NA,"54143",NA,"44096","355660",30498.9288336492,2
"Wausau",2020-09-22,"527194001",4.07,3608,0.49,5.96,8.2,"24hr-FWCmp","filtMgCl2",NA,"Marathon","3.49","WI0025739",2,"PromegaHT","No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,6670,2764,NA,"Gene copies/L",33000,68000,"N",3,NA,547,335,"Yes","Gene copies/L","qPCR",7.34,17359919,42000,"IDT","DNA-plasm","0.33333333333333331","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",4.3,NA,NA,NA,"54401",NA,"44096","355660",1910.10209151239,2
