"Site","epaid","Pop","sample_id","repName","n1_sars_cov2_units","N1","N1LOD","n2_sars_cov2_units","N2","N2LOD","PMMoV","hf183_conc","Date","sample_collect_time","test_result_date","FlowRate","tss","ph","bod","conductivity","temperature","do","created_on","last_modified_on","lab_submitter","n1_lod","n1_loq","n2_lod","n2_loq"
"Green Bay MSD","WI0065251",189000,"833","droplet digital PCR","copies/L wastewater",42212.07467,FALSE,"copies/L wastewater",20517.81333,FALSE,56985740.59,NA,2021-01-27,"6:00","1/29/2021",24.26,"190","7.6","200","2220",NA,NA,"2/1/2021 9:49","1/7/2022 13:55","UWM","3417.301","11400.341","3417.301","11400.341"
"Milwaukee MSD Jones Island","WI0036820",470007,"828","droplet digital PCR","copies/L wastewater",8151.104,FALSE,"copies/L wastewater",15279.81867,FALSE,25303435.73,NA,2021-01-27,"0:00","1/29/2021",83,"250",NA,"370","2200",NA,NA,"2/1/2021 9:49","1/7/2022 13:55","UWM","3053.163","10181.877","3053.163","10181.877"
"MMSD-P7","WI0024597",380000,"545001001","qPCR","Gene copies/L",64345,FALSE,"Gene copies/L",107125,FALSE,22900169,NA,2021-01-25,"0:00","1/27/2021 10:00",4.35,NA,"8",NA,"1437",NA,NA,"2/3/2021 18:15","12/23/2021 23:18","SLH","40000","130000","66000","140000"
"MMSD-P8","WI0024597",380000,"545002001","qPCR","Gene copies/L",66705,FALSE,"Gene copies/L",110510,FALSE,22716404,NA,2021-01-25,"0:00","1/27/2021 10:00",6.06,NA,"7.5",NA,"1619",NA,NA,"2/3/2021 18:15","2/15/2021 15:41","SLH","40000","130000","66000","140000"
"Milwaukee MSD South Shore","WI0036820",615934,"830","droplet digital PCR","copies/L wastewater",28752.94933,FALSE,"copies/L wastewater",9075.456,FALSE,24762409.71,NA,2021-01-27,"0:00","1/29/2021",57,"290",NA,"410","2110",NA,NA,"2/1/2021 9:49","1/7/2022 13:56","UWM","4537.728","15125.76","4537.728","15125.76"
"Racine Wastewater Utility","WI0025194",139000,"831","droplet digital PCR","copies/L wastewater",45531.33867,FALSE,"copies/L wastewater",28598.89067,FALSE,22244390.83,NA,2021-01-27,"0:00","1/29/2021",14.55,"129","7.29","142","1306","11.8",NA,"2/1/2021 9:49","1/7/2022 13:56","UWM","3893.483","12996.949","3893.483","12996.949"
"Waukesha WWTP","WI0029971",72549,"834","droplet digital PCR","copies/L wastewater",24495.328,FALSE,"copies/L wastewater",13473.13067,FALSE,9747431.893,NA,2021-01-27,"8:00","1/29/2021",6.115,"327",NA,"362","2550","4",NA,"2/1/2021 9:49","1/7/2022 13:57","UWM","3669.397","12240.661","3669.397","12240.661"
"MMSD-P11","WI0024597",380000,"545010001","qPCR","Gene copies/L",280459,FALSE,"Gene copies/L",354015,FALSE,31434596,NA,2021-01-25,"0:00","1/27/2021 10:00",9.31,NA,"7.5",NA,"1536",NA,NA,"2/3/2021 18:15","2/15/2021 15:41","SLH","40000","130000","66000","140000"
"MMSD-P18","WI0024597",380000,"545011001","qPCR","Gene copies/L",310278,FALSE,"Gene copies/L",447153,FALSE,29445680,NA,2021-01-25,"0:00","1/27/2021 10:00",11.82,NA,"7.5",NA,"1690",NA,NA,"2/3/2021 18:15","2/15/2021 15:41","SLH","40000","130000","66000","140000"
"Madison","WI0024597",380000,"545013001","qPCR","Gene copies/L",135003,FALSE,"Gene copies/L",233165,FALSE,31732106,NA,2021-01-25,"0:00","1/27/2021 10:00",37.28,NA,"7.87",NA,"1850",NA,NA,"2/3/2021 18:15","2/15/2021 15:41","SLH","40000","130000","66000","140000"
"Burlington WPCC","WI0022926",13000,"847","droplet digital PCR","copies/L wastewater",9747.712,FALSE,"copies/L wastewater",6092.32,FALSE,10658198.72,NA,2021-02-01,"6:30","2/5/2021",2.61,"287","7.7","196","2200","9.9",NA,"2/8/2021 10:35","1/7/2022 13:54","UWM","3655.392","12184.64","3655.392","12184.64"
"Cedarburg WWTF","WI0020222",12000,"849","droplet digital PCR","copies/L wastewater",3991.52,FALSE,"copies/L wastewater",2997.141333,FALSE,24194073.28,NA,2021-02-01,"7:03","2/5/2021",1.656,NA,NA,NA,"2440",NA,NA,"2/8/2021 10:35","1/7/2022 13:54","UWM","2997.141","9971.797","2997.141","9971.797"
"Mauston WWTF","WI0024635",4500,"545055001","qPCR","Gene copies/L",143957,FALSE,"Gene copies/L",121768,FALSE,5891717,NA,2021-01-26,"8:00","2/1/2021 14:37",0.34,NA,"7.81",NA,"1012",NA,NA,"2/15/2021 15:41","5/5/2021 22:46","SLH","40000","130000","66000","140000"
"Columbus WWTF","WI0021008",7000,"545068001","qPCR","Gene copies/L",35334,TRUE,"Gene copies/L",22778,TRUE,14456738,NA,2021-01-26,"9:45","2/1/2021 14:37",0.742,NA,"7.6",NA,"1547",NA,NA,"2/15/2021 15:41","5/5/2021 22:46","SLH","40000","130000","66000","140000"
"Heart of the Valley MSD","WI0031232",50000,"545069001","qPCR","Gene copies/L",257263,FALSE,"Gene copies/L",196740,FALSE,11343841,NA,2021-01-26,"7:00","2/1/2021 14:37",4.958,NA,"7.8",NA,"2930","11.9","2.1","2/15/2021 15:41","5/5/2021 22:46","SLH","40000","130000","66000","140000"
"Whitewater WWTF","WI0020001",14000,"545070001","qPCR","Gene copies/L",267577,FALSE,"Gene copies/L",165442,FALSE,13719177,NA,2021-01-26,"8:05","1/29/2021 10:00",1.32,NA,"7.92",NA,"1580","10.8","4.23","2/15/2021 15:41","5/26/2021 22:49","SLH","40000","130000","66000","140000"
"Waupaca WWTF","WI0030490",10000,"545071001","qPCR","Gene copies/L",234862,FALSE,"Gene copies/L",163805,FALSE,17745181,NA,2021-01-26,"7:19","1/29/2021 10:00",1.1163,NA,"7.4",NA,"1473","8",NA,"2/15/2021 15:41","5/26/2021 22:49","SLH","40000","130000","66000","140000"
"Madison","WI0024597",380000,"545014001","qPCR","Gene copies/L",1831813,FALSE,"Gene copies/L",1686654,FALSE,29748189,NA,2021-01-26,"0:00","1/27/2021 10:00",37.74,NA,"7.82",NA,"1544",NA,NA,"2/3/2021 18:15","2/15/2021 15:41","SLH","40000","130000","66000","140000"
"De Pere WWTF","WI0065251",43000,"855","droplet digital PCR","copies/L wastewater",14341.46133,FALSE,"copies/L wastewater",5518.101333,FALSE,10625286.19,NA,2021-02-03,"7:00","2/5/2021",6.24,"568","7.3","680","1747",NA,NA,"2/8/2021 10:35","1/7/2022 13:55","UWM","3305.259","11036.203","3305.259","11036.203"
"Green Bay MSD","WI0065251",189000,"856","droplet digital PCR","copies/L wastewater",31049.824,FALSE,"copies/L wastewater",14411.488,FALSE,23156418.13,NA,2021-02-03,"6:00","2/5/2021",23.41,"230","7.6","220","2320",NA,NA,"2/8/2021 10:35","1/7/2022 13:55","UWM","3319.264","11078.219","3319.264","11078.219"
"Marinette Wastewater Utility","WI0026182",10608,"545073001","qPCR","Gene copies/L",322467,FALSE,"Gene copies/L",212248,FALSE,12481518,NA,2021-01-26,"7:00","2/1/2021 14:37",1.62,NA,"7",NA,"1181",NA,NA,"2/15/2021 15:41","5/5/2021 22:46","SLH","40000","130000","66000","140000"
"Stevens Point WWTF","WI0029572",27000,"545076001","qPCR","Gene copies/L",486981,FALSE,"Gene copies/L",378695,FALSE,19327272,NA,2021-01-26,"7:00","1/29/2021 10:00",1.9,NA,"7.29",NA,"1613",NA,NA,"2/15/2021 15:41","5/26/2021 22:49","SLH","40000","130000","66000","140000"
"Sturgeon Bay Utilities WWTF","WI0021113",9500,"545081001","qPCR","Gene copies/L",72303,FALSE,"Gene copies/L",73083,FALSE,70213577,NA,2021-01-26,"7:00","1/29/2021 10:00",1.5,NA,"7.9",NA,"1886","8.3",NA,"2/15/2021 15:41","5/26/2021 22:49","SLH","40000","130000","66000","140000"
"Janesville WW Utility","WI0030350",63500,"545083001","qPCR","Gene copies/L",497170,FALSE,"Gene copies/L",336611,FALSE,5827304,NA,2021-01-26,"7:15","2/1/2021 14:37",11.19,NA,"7.56",NA,"1894",NA,NA,"2/15/2021 15:41","5/5/2021 22:46","SLH","40000","130000","66000","140000"
"Lac du Flambeau Tribal Water & Sewer","WI0036498",3400,"545085001","qPCR","Gene copies/L",705379,FALSE,"Gene copies/L",488084,FALSE,12750236,NA,2021-01-26,"9:00","2/1/2021 14:37",0.088,NA,"7.35",NA,"969","7.11",NA,"2/15/2021 15:41","5/5/2021 22:46","SLH","40000","130000","66000","140000"
"Fox River WPCC","WI0023469",51000,"846","droplet digital PCR","copies/L wastewater",13977.32267,FALSE,"copies/L wastewater",11442.35733,FALSE,47214779.73,NA,2021-01-31,"7:34","2/4/2021",7.24,"286","7.8","220","2790","6.9",NA,"2/4/2021 23:02","1/17/2022 11:01","UWM","3809.451","12702.837","3809.451","12702.837"
"Milwaukee MSD Jones Island","WI0036820",470007,"851","droplet digital PCR","copies/L wastewater",18977.22667,FALSE,"copies/L wastewater",20027.62667,FALSE,9726984.107,NA,2021-02-03,"0:00","2/5/2021",67,"280",NA,"400","1707",NA,NA,"2/8/2021 10:35","1/7/2022 13:55","UWM","3165.205","10546.016","3165.205","10546.016"
"Port Washington WWTP","WI0020460",12000,"850","droplet digital PCR","copies/L wastewater",1086.813867,TRUE,"copies/L wastewater",4341.653333,FALSE,16441841.17,NA,2021-02-01,"7:35","2/5/2021",0.976,NA,NA,NA,"3630",NA,NA,"2/8/2021 10:35","1/7/2022 13:56","UWM","3263.243","10868.139","3263.243","10868.139"
"Eau Claire WWTF","WI0023850",75000,"547572001","qPCR","Gene copies/L",140229,FALSE,"Gene copies/L",108256,FALSE,11696791.73,NA,2021-02-12,"6:00","2/25/2021 14:51",7.38,NA,"7.69",NA,"1060","11.9","5.89","3/1/2021 22:59","6/1/2021 22:51","SLH","40000","130000","66000","140000"
"Peshtigo WWTF","WI0030651",4000,"547573001","qPCR","Gene copies/L",62307,FALSE,"Gene copies/L",42661,FALSE,3608970.948,NA,2021-02-15,"8:00","2/25/2021 14:51",0.42,NA,"7.7",NA,"779","9.9","5.9","3/1/2021 22:59","6/1/2021 22:51","SLH","40000","130000","66000","140000"
"De Pere WWTF","WI0065251",43000,"843","droplet digital PCR","copies/L wastewater",46917.86667,FALSE,"copies/L wastewater",35181.39733,FALSE,15093267.63,NA,2021-01-31,"7:00","2/4/2021",5.87,"192","7.1","500","1319",NA,NA,"2/4/2021 23:02","1/7/2022 13:55","UWM","3515.339","11722.464","3515.339","11722.464"
"Green Bay MSD","WI0065251",189000,"821","droplet digital PCR","copies/L wastewater",31540.01067,FALSE,"copies/L wastewater",17394.624,FALSE,12895830.83,NA,2021-01-25,"6:00","2/4/2021",24.9342,"206","7.5","190","2120",NA,NA,"2/4/2021 23:02","1/7/2022 13:55","UWM","3263.243","10868.139","3263.243","10868.139"
"Green Bay MSD","WI0065251",189000,"844","droplet digital PCR","copies/L wastewater",30307.54133,FALSE,"copies/L wastewater",11652.43733,FALSE,16320835.09,NA,2021-01-31,"6:00","2/4/2021",21.3,"144","7.7","180","1708",NA,NA,"2/4/2021 23:02","1/7/2022 13:55","UWM","3487.328","11652.437","3487.328","11652.437"
"Rib Mountain MSD WWTF","WI0035581",40000,"545074001","qPCR","Gene copies/L",604401,FALSE,"Gene copies/L",426132,FALSE,32327505,NA,2021-01-26,"7:00","1/29/2021 10:00",2.47,NA,"7.74",NA,"1405",NA,NA,"2/15/2021 15:41","5/26/2021 22:49","SLH","40000","130000","66000","140000"
"Viroqua WWTF","WI0021920",4335,"545075001","qPCR","Gene copies/L",418328,FALSE,"Gene copies/L",251995,FALSE,10479488,NA,2021-01-26,"8:52","1/29/2021 10:00",0.273,NA,"7.98",NA,"1631",NA,NA,"2/15/2021 15:41","5/26/2021 22:49","SLH","40000","130000","66000","140000"
"Fox River WPCC","WI0023469",51000,"323","droplet digital PCR","copies/L wastewater",2068.8,FALSE,"copies/L wastewater",1708.8,TRUE,NA,NA,2020-09-14,"6:55","9/20/2020",9.11,"184","7.7","157",NA,"21.7",NA,"12/4/2020 17:38","1/17/2022 11:01","UWM","2020.8","6729.6","3364.8","6052.8"
"Fox River WPCC","WI0023469",51000,"563","droplet digital PCR","copies/L wastewater",44522.95467,FALSE,"copies/L wastewater",12632.81067,FALSE,20543583.15,"1010310812",2020-11-16,"7:03","11/19/2020",7.76,"232","7.5","266","2600","6.4",NA,"12/4/2020 17:38","1/17/2022 11:01","UWM","2696.027","9005.429","4502.715","8102.085"
"Cedarburg WWTF","WI0020222",12000,"480","droplet digital PCR","copies/L wastewater",9285.536,FALSE,"copies/L wastewater",10616.04267,FALSE,20073704.21,"756666909.8",2020-10-26,"6:56","10/29/2020",1.78,"158","7.74","169","2120","15",NA,"12/4/2020 17:38","1/7/2022 13:54","UWM","3977.515","13277.056","6638.528","11946.549"
"De Pere WWTF","WI0065251",43000,"259","droplet digital PCR","copies/L wastewater",10953.6,FALSE,"copies/L wastewater",2524.8,TRUE,NA,NA,2020-08-24,"7:00","8/28/2020",6.175,"344","6.9","330",NA,NA,NA,"12/4/2020 17:38","1/7/2022 13:55","UWM","2524.8","8428.8","4214.4","7584"
"Green Bay MSD","WI0065251",189000,"344","droplet digital PCR","copies/L wastewater",23692.8,FALSE,"copies/L wastewater",12892.8,FALSE,14223768,"572407354",2020-09-20,"6:00","9/28/2020",18.475,"214","7.7","180",NA,NA,NA,"12/4/2020 17:38","1/7/2022 13:55","UWM","2138.4","7123.2","3564","6412.8"
"La Crosse WWTP","WI0029581",85000,"526322001","qPCR","Gene copies/L",16969,TRUE,"Gene copies/L",3405,TRUE,78716752,NA,2020-09-17,"7:33","9/29/2020 10:00",9.62,NA,"7.23",NA,NA,"14.4","1.08","1/15/2021 12:15","2/15/2021 15:41","SLH","20000","64000","33000","68000"
"Sun Prairie WWTF","WI0020478",34926,"529577001","qPCR","Gene copies/L",75860,FALSE,"Gene copies/L",39278,FALSE,20383353.12,NA,2020-10-06,"6:20","10/6/2020 18:06",3.522,NA,"7.4",NA,"2150","18.4",NA,"1/15/2021 12:15","2/15/2021 15:41","SLH","20000","64000","33000","68000"
"Green Bay MSD","WI0065251",189000,"581","droplet digital PCR","copies/L wastewater",22478.56,FALSE,"copies/L wastewater",7492.853333,FALSE,21191749.97,"131048419.1",2020-11-23,"6:00","11/29/2020",27.2388,"216","7.5","210","1708",NA,NA,"12/4/2020 17:38","1/7/2022 13:55","UWM","2801.067","9355.563","2801.067","9355.563"
"Milwaukee MSD Jones Island","WI0036820",470007,"463","droplet digital PCR","copies/L wastewater",45545.344,FALSE,"copies/L wastewater",17954.83733,FALSE,15549841.49,"412784199.4",2020-10-27,"0:00","10/29/2020",66,"170",NA,"170","1290",NA,NA,"12/4/2020 17:38","1/7/2022 13:56","UWM","3585.365","11974.56","5980.277","10770.101"
"Milwaukee MSD South Shore","WI0036820",615934,"367","droplet digital PCR","copies/L wastewater",6826.8,FALSE,"copies/L wastewater",2685.84,FALSE,28783968,"828882676.8",2020-09-30,"0:00","10/4/2020",80,"480",NA,"620",NA,NA,NA,"12/4/2020 17:38","1/7/2022 13:56","UWM","2330.4","7761.6","3878.4","6986.4"
"Port Washington WWTP","WI0020460",12000,"541","droplet digital PCR","copies/L wastewater",78079.73333,FALSE,"copies/L wastewater",36273.81333,FALSE,21445246.51,NA,2020-11-09,"7:15","11/16/2020",0.91,"244","8.1","245","1972","0.9",NA,"12/4/2020 17:38","1/7/2022 13:56","UWM","2717.035","9061.451","4523.723","8151.104"
"Racine Wastewater Utility","WI0025194",139000,"530","droplet digital PCR","copies/L wastewater",101566.6773,FALSE,"copies/L wastewater",41525.81333,FALSE,40028223.04,"564902250.4",2020-11-09,"0:00","11/16/2020",12.47,"210","7.03","209","1124","16.6",NA,"12/4/2020 17:38","1/7/2022 13:56","UWM","3655.392","12198.645","6106.325","10980.181"
"Wolf Treatment Plant","WI0028452",18000,"530826001","qPCR","Gene copies/L",817251,FALSE,"Gene copies/L",1088997,FALSE,38890000.45,NA,2020-10-13,"7:00","10/29/2020 12:00",1.906,NA,"7.7",NA,"1345",NA,NA,"1/15/2021 12:15","1/4/2022 23:04","SLH","20000","64000","33000","68000"
"Sheboygan WWTP","WI0025411",75000,"531943001","qPCR","Gene copies/L",601541,FALSE,"Gene copies/L",409959,FALSE,26139421.2,NA,2020-10-16,"6:00","10/21/2020 7:23",8.91,NA,"7.4",NA,"1342","17",NA,"1/15/2021 12:15","12/6/2021 22:59","SLH","20000","64000","33000","68000"
"Port Washington WWTP","WI0020460",12000,"566","droplet digital PCR","copies/L wastewater",115070.1529,FALSE,"copies/L wastewater",32772.48,FALSE,84008471.04,"1077262369",2020-11-16,"7:15","11/24/2020",0.93,"248","8","291","1980","0.9",NA,"12/4/2020 17:38","1/7/2022 13:56","UWM","2703.029","9007.764","3893.483","8414.871"
"Port Washington WWTP","WI0020460",12000,"589","droplet digital PCR","copies/L wastewater",78583.92533,FALSE,"copies/L wastewater",7927.018667,FALSE,24003647.43,"317402818.6",2020-11-23,"7:15","11/29/2020",0.9,"252","8","284","1852","0.8",NA,"12/4/2020 17:38","1/7/2022 13:56","UWM","2647.008","8809.355","2647.008","8809.355"
"Port Washington WWTP","WI0020460",12000,"611","droplet digital PCR","copies/L wastewater",19803.54133,FALSE,"copies/L wastewater",5504.096,FALSE,9688329.387,"548516098.8",2020-11-30,"7:15","12/3/2020",1.202,NA,NA,NA,"1600",NA,NA,"12/4/2020 17:38","1/7/2022 13:56","UWM","3305.259","11008.192","3305.259","11008.192"
"Racine Wastewater Utility","WI0025194",139000,"250","droplet digital PCR","copies/L wastewater",6326.4,FALSE,"copies/L wastewater",4795.2,FALSE,NA,NA,2020-08-23,"0:00","8/28/2020",14.52,"122","7.19","108",NA,"19.33333333",NA,"12/4/2020 17:38","2/18/2022 10:37","UWM","2251.2","7497.6","3744","6744"
"Racine Wastewater Utility","WI0025194",139000,"251","droplet digital PCR","copies/L wastewater",4550.4,FALSE,"copies/L wastewater",1948.8,TRUE,NA,NA,2020-08-24,"0:00","8/28/2020",16.23,"144","7.08","134",NA,"18.66666667",NA,"12/4/2020 17:38","2/18/2022 10:37","UWM","1948.8","6499.2","3254.4","5846.4"
"Marshfield WWTF","WI0021024",19316,"532267001","qPCR","Gene copies/L",9129,TRUE,"Gene copies/L",8506,TRUE,7205743,NA,2020-10-20,"8:15","10/26/2020 14:14",1.963,NA,"6.9",NA,"1791","18.6","3.1","1/15/2021 12:15","11/24/2021 22:59","SLH","20000","64000","33000","68000"
"Sturgeon Bay Utilities WWTF","WI0021113",9500,"532352001","qPCR","Gene copies/L",61056,FALSE,"Gene copies/L",64349,FALSE,73018724,NA,2020-10-20,"7:00","10/26/2020 14:14",0.93,NA,"7.8",NA,"1374","14.9",NA,"1/15/2021 12:15","11/24/2021 22:59","SLH","20000","64000","33000","68000"
"Milwaukee MSD Jones Island","WI0036820",470007,"466","droplet digital PCR","copies/L wastewater",31708.07467,FALSE,"copies/L wastewater",8739.328,FALSE,21159817.81,"365208062.1",2020-10-28,"0:00","10/29/2020",64,"210",NA,"210","1265",NA,NA,"12/4/2020 17:38","1/7/2022 13:56","UWM","3277.248","10924.16","5462.08","9831.744"
"Milwaukee MSD Jones Island","WI0036820",470007,"492","droplet digital PCR","copies/L wastewater",116244.2667,FALSE,"copies/L wastewater",32422.34667,FALSE,23083170.24,"761517177.5",2020-11-03,"0:00","11/5/2020",56,"240",NA,"240","1249",NA,NA,"12/4/2020 17:38","1/7/2022 13:56","UWM","2941.12","9817.739","4915.872","8837.365"
"Milwaukee MSD Jones Island","WI0036820",470007,"494","droplet digital PCR","copies/L wastewater",57099.744,FALSE,"copies/L wastewater",26414.05867,FALSE,20471035.52,"540718006.5",2020-11-04,"0:00","11/5/2020",56,"260",NA,"260","1268",NA,NA,"12/4/2020 17:38","1/7/2022 13:56","UWM","3165.205","10560.021","5280.011","9509.621"
"Milwaukee MSD Jones Island","WI0036820",470007,"523","droplet digital PCR","copies/L wastewater",65544.96,FALSE,"copies/L wastewater",36133.76,FALSE,197476950.7,"547088070.3",2020-11-10,"0:00","11/16/2020",55,"210",NA,"280","1198",NA,NA,"12/4/2020 17:38","1/7/2022 13:56","UWM","3389.291","11288.299","5644.149","10153.867"
"Milwaukee MSD Jones Island","WI0036820",470007,"525","droplet digital PCR","copies/L wastewater",72379.56267,FALSE,"copies/L wastewater",24971.50933,FALSE,49100737.92,"345592569.1",2020-11-11,"0:00","11/16/2020",87,"720",NA,"530","1097",NA,NA,"12/4/2020 17:38","1/7/2022 13:56","UWM","3935.499","13137.003","6568.501","11820.501"
"Neopit WWTF","WI0073059",1000,"532570001","qPCR","Gene copies/L",10853924,FALSE,"Gene copies/L",5046073,FALSE,1794067.185,NA,2020-10-21,"9:40","10/27/2020 12:18",NA,NA,"6.28",NA,"670","12.9","3.47","1/15/2021 12:15","11/19/2021 22:58","SLH","20000","64000","33000","68000"
"Wausau Water Works WWTF","WI0025739",42000,"533063001","qPCR","Gene copies/L",308113,FALSE,"Gene copies/L",118947,FALSE,19706147.13,NA,2020-10-24,"8:00","10/28/2020 17:52",4.2,NA,"7.5",NA,"1421",NA,NA,"1/15/2021 12:15","2/15/2021 15:41","SLH","20000","64000","33000","68000"
"Milwaukee MSD South Shore","WI0036820",615934,"382","droplet digital PCR","copies/L wastewater",15802.8,FALSE,"copies/L wastewater",10192.8,FALSE,21930504,"1252657097",2020-10-01,"0:00","10/4/2020",71,"250",NA,"330",NA,NA,NA,"12/4/2020 17:38","1/7/2022 13:56","UWM","2032.8","6782.4","3392.4","6102"
"Milwaukee MSD South Shore","WI0036820",615934,"384","droplet digital PCR","copies/L wastewater",13296,FALSE,"copies/L wastewater",7546.8,FALSE,21800712,"642976640.4",2020-10-02,"0:00","10/4/2020",68,"320",NA,"460",NA,NA,NA,"12/4/2020 17:38","1/7/2022 13:56","UWM","2217.6","7396.8","3699.6","6657.6"
"Milwaukee MSD South Shore","WI0036820",615934,"389","droplet digital PCR","copies/L wastewater",43248,FALSE,"copies/L wastewater",21984,FALSE,26978304,"834538440.9",2020-10-06,"0:00","10/9/2020",68,"230",NA,"220",NA,NA,NA,"12/4/2020 17:38","1/7/2022 13:56","UWM","2275.2","7574.4","3782.4","6816"
"Milwaukee MSD South Shore","WI0036820",615934,"392","droplet digital PCR","copies/L wastewater",20016,FALSE,"copies/L wastewater",8803.2,FALSE,58099680,"853958567.9",2020-10-07,"0:00","10/9/2020",67,"340",NA,"510",NA,NA,NA,"12/4/2020 17:38","1/7/2022 13:56","UWM","2400","7996.8","4003.2","7200"
"Milwaukee MSD South Shore","WI0036820",615934,"414","droplet digital PCR","copies/L wastewater",17212.8,FALSE,"copies/L wastewater",7651.2,FALSE,24471400.08,"613055073.9",2020-10-13,"0:00","10/15/2020",64,"230",NA,"240","1610",NA,NA,"12/4/2020 17:38","1/7/2022 13:56","UWM","1910.4","6374.4","3187.2","5731.2"
"Lake Geneva WWTP","WI0021130",8000,"533309001","qPCR","Gene copies/L",49834,FALSE,"Gene copies/L",59317,FALSE,117976939,NA,2020-10-27,"7:00","10/28/2020 17:38",1.1244881,NA,"7.75",NA,"1780","4.6","1.56","1/15/2021 12:15","12/2/2021 23:00","SLH","20000","64000","33000","68000"
"Manitowoc WWTF","WI0024601",34450,"533327001","qPCR","Gene copies/L",146888,FALSE,"Gene copies/L",133965,FALSE,8522086,NA,2020-10-27,"12:00","10/28/2020 17:38",9.242,NA,"7.6",NA,"1109","22.8",NA,"1/15/2021 12:15","1/4/2022 23:04","SLH","20000","64000","33000","68000"
