"Site","Date","sample_id","FlowRate","cov2_conc","BCoV","capacity_mgd","conductivity","do","equiv_sewage_amt","n1_lod","n1_loq","N1","N1Error","n1_sars_cov2_lod","n2_lod","n2_loq","N2","N2Error","n2_sars_cov2_lod","ph","PMMoV","Pop","temperature","tss","wwtp_comments","zipcode","analytical_comments","AVG","wt"
"Ashland",2021-01-26,545037001,0.658,266723,4.391,1.92,870,NA,1,40000,130000,285993,16110,NA,66000,140000,247453,6427,"No",7.39,9377780,8000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54806",NA,266025.987130957,2
"Baraboo",2021-01-26,545038001,1.7,191948,1.46,2.53,1044,NA,1,40000,130000,231184,26061,NA,66000,140000,152713,24741,"No",7,17625811,14000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53913",NA,187895.721590461,2
"BlackRiverFallsWWTP",2021-01-26,545040001,0.42,56156,5.519,1.5,865,NA,1,40000,130000,70808,27108,NA,66000,140000,41504,18259,"No",7.12,10430622,5200,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54615",NA,54210.8405395083,2
"WI Rapids",2021-01-26,545041001,2.503,529908,12.95,5.27,1293,NA,1,40000,130000,628996,40505,NA,66000,140000,430820,23375,"No",6.7,20178782,20000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54494",NA,520561.290070631,2
"Clintonville",2021-01-26,545042001,0.473,501547,3.009,0.679,1126,NA,1,40000,130000,560046,33950,NA,66000,140000,443047,21816,"No",7.8,7199445,4455,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54929",NA,498123.177700054,2
"Mondovi",2021-01-26,545045001,0.205,1555948,13.461,0.3,749,NA,1,40000,130000,1711988,44074,NA,66000,140000,1399908,61617,"No",7.2,18817367,2800,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54755",NA,1548103.90384625,2
"Red Cliff",2021-01-26,545047001,0.0856,10899,2.25,0.22,903,NA,1,40000,130000,20745,986,NA,66000,140000,1052,-1,"Yes",7.5,7449964,1900,NA,NA,"Sample is re-reported to update total flow with corrected info from WWTP  Sample is re-reported to update total flow with corrected info from WWTP  Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54814",NA,4671.58859490003,2
"Portage",2021-01-26,545050001,1.589,368322,10.375,2.102,1830,2.92,1,40000,130000,445500,17887,NA,66000,140000,291145,19787,"No",7.6,116197234,10693,11.7,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53901",NA,360145.93916911,2
"New Richmond",2021-01-26,545052001,0.626,167445,4.939,0.98,1119,NA,1,40000,130000,203304,8001,NA,66000,140000,131586,4608,"No",7.69,19726759,9167,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54017",NA,163560.264563249,2
"Mauston",2021-01-26,545055001,0.34,132862,5.591,1.1,1012,NA,1,40000,130000,143957,10772,NA,66000,140000,121768,4966,"No",7.81,5891717,4500,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53948",NA,132398.474220816,2
"Chippewa Falls",2021-01-26,545057001,1.991,204673,3.822,4.5,1551,NA,1,40000,130000,224501,35707,NA,66000,140000,184845,9587,"No",6.9,4499366,13000,10,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54729-2175",NA,203710.30250088,2
"Eau Claire",2021-01-26,545060001,6.93,149954,1.774,12,1186,5.22,1,40000,130000,167447,19945,NA,66000,140000,132462,19711,"No",7.39,9594402,75000,13.3,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54703",NA,148930.737304292,2
"Columbus",2021-01-26,545068001,0.742,29056,0.634,1.165,1547,NA,1,40000,130000,35334,10687,NA,66000,140000,22778,5805,"Yes",7.6,14456738,7000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53925",NA,28369.6642912813,2
"Heart of the Valley",2021-01-26,545069001,4.958,227002,4.085,26.4,2930,2.1,1,40000,130000,257263,25747,NA,66000,140000,196740,10275,"No",7.8,11343841,50000,11.9,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54130",NA,224975.382253259,2
"Whitewater",2021-01-26,545070001,1.32,216510,4.695,3.65,1580,4.23,1,40000,130000,267577,7470,NA,66000,140000,165442,19868,"No",7.92,13719177,14000,10.8,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.   Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53190",NA,210400.746277194,2
"Waupaca",2021-01-26,545071001,1.1163,199333,1.58,1.5,1473,NA,1,40000,130000,234862,34341,NA,66000,140000,163805,12441,"No",7.4,17745181,10000,8,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54981",NA,196141.708746508,2
"Marinette",2021-01-26,545073001,1.62,267357,5.955,7.8,1181,NA,1,40000,130000,322467,4019,NA,66000,140000,212248,23200,"No",7,12481518,10608,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54143",NA,261616.084780734,2
"Rib Mountain",2021-01-26,545074001,2.47,515266,2.803,4.41,1405,NA,1,40000,130000,604401,2544,NA,66000,140000,426132,18947,"No",7.74,32327505,40000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54401",NA,507498.381211211,2
"Viroqua",2021-01-26,545075001,0.273,335161,3.126,0.535,1631,NA,1,40000,130000,418328,18389,NA,66000,140000,251995,9275,"No",7.98,10479488,4335,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54665",NA,324679.171429274,2
"Stevens Point",2021-01-26,545076001,1.9,432838,6.896,4.55,1613,NA,1,40000,130000,486981,24205,NA,66000,140000,378695,31591,"No",7.29,19327272,27000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54481",NA,429438.318964435,2
"Hayward",2021-01-26,545080001,0.253842,116710,0.563,0.772,1279,NA,1,40000,130000,135563,22066,NA,66000,140000,97858,10795,"No",7.5,26171193,2375,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54843",NA,115177.793232897,2
"Sturgeon Bay",2021-01-26,545081001,1.5,72693,5.924,7.418,1886,NA,1,40000,130000,72303,5331,NA,66000,140000,73083,10647,"No",7.9,70213577,9500,8.3,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54235",NA,72691.9538119591,2
"Janesville",2021-01-26,545083001,11.19,416890,4.201,16.1,1894,NA,1,40000,130000,497170,32705,NA,66000,140000,336611,25937,"No",7.56,5827304,63500,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53548",NA,409087.87670866,2
"Lac du Flambeau",2021-01-26,545085001,0.088,596731,4.522,0.19,969,NA,1,40000,130000,705379,31679,NA,66000,140000,488084,17565,"No",7.35,12750236,3400,7.11,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54538",NA,586757.363682809,2
"Menomonie",2021-01-26,545086001,1.333,144621,0.804,2.88,1917,NA,1,40000,130000,173880,9796,NA,66000,140000,115361,8130,"No",7.7,12355119,16000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54751",NA,141629.695615009,2
"Marshfield",2021-01-26,545088001,2.049,142054,0.706,4.63,1873,5.8,1,40000,130000,197627,21862,NA,66000,140000,86481,5015,"No",7.1,12913572,19316,12.6,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54449",NA,130732.477169983,2
"Monroe",2021-01-26,545089001,1.73,111028,2.168,3.7,2100,NA,1,40000,130000,140086,42838,NA,66000,140000,81970,9027,"No",8.48,11443077,10800,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53566",NA,107158.05811977,2
"Spooner",2021-01-26,545090001,0.182,885370,4.462,0.375,1274,NA,1,40000,130000,1103501,56757,NA,66000,140000,667239,19293,"No",8.3,28762319,2700,5.5,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54801",NA,858078.611631242,2
"Lake Geneva",2021-01-26,545092001,1.0753604,119513,2.095,2.5,1718,2.22,1,40000,130000,149360,21004,NA,66000,140000,89665,5101,"No",7.7,15113421,8000,2.5,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53147",NA,115725.383559529,2
"Lodi",2021-01-26,545093001,0.408,21927,5.206,0.542,1469,NA,1,40000,130000,23427,4831,NA,66000,140000,20427,12482,"Yes",6.9,3182561,3100,NA,NA,"SAMPLE FROZEN Sample frozen upon receipt; Results approximate. Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53555",NA,21875.6332251206,2
"La Crosse",2021-01-26,545094001,9.83,73585,0.185,20,2160,NA,1,40000,130000,89177,2786,NA,66000,140000,57993,12012,"Yes",7.47,12343857,85000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54601",NA,71914.1276871242,2
"Wolf",2021-01-26,545096001,1.694,159190,0.004,2.63,1487,NA,1,40000,130000,158610,16080,NA,66000,140000,159769,29049,"No",7.48,10478946,18000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54166",NA,159188.445215097,2
"Berlin WWTP",2021-01-26,545100001,0.572,101972,1.933,1.5,1882,NA,1,40000,130000,124834,5971,NA,66000,140000,79110,6754,"No",7,21657008,6000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54923",NA,99376.1427104111,2
"Oshkosh",2021-01-26,545101001,8.258,664514,5.343,20,1426,NA,1,40000,130000,733316,11752,NA,66000,140000,595713,38466,"No",8.11,13394948,67000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54902",NA,660943.170255961,2
"Manitowoc",2021-01-26,545102001,5.714,173936,6.352,15.5,1541,NA,1,40000,130000,199014,12542,NA,66000,140000,148859,23039,"No",7.6,6637725,34450,10.6,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54220",NA,172119.217480211,2
"Rhinelander",2021-01-26,545103001,0.831,234837,3.174,2.21,1451,NA,1,40000,130000,283564,43440,NA,66000,140000,186109,12148,"No",7.36,14623997,7800,3.5,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54501",NA,229725.51550927,2
"Hartford",2021-01-26,545108001,1.72,28063,1.091,3.6,1951,NA,1,40000,130000,32638,24850,NA,66000,140000,23488,9006,"Yes",7.6,1577642,15200,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53027",NA,27687.5665958567,2
"Oconomowoc",2021-01-26,545109001,2.536,486636,5.116,4.02,1741,3.95,1,40000,130000,526605,41722,NA,66000,140000,446668,14758,"No",7.5,86077171,34135,14.2,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53066",NA,484992.37328024,2
"Sheboygan",2021-01-26,545113001,9.629,247942,7.525,18.4,1279,NA,1,40000,130000,274262,20264,NA,66000,140000,221622,11561,"No",7.6,18250203,75000,13.89,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53081",NA,246541.057359621,2
"Platteville",2021-01-26,545237002,0.876,155964,4.339,3,1694,5.3,1,40000,130000,187805,16317,NA,66000,140000,124123,7565,"No",7.78,10458352,14000,12.66,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53818",NA,152679.140733107,2
"Hudson",2021-01-26,545239002,1.426,45476,8.145,2.2,1290,5.25,1,40000,130000,36312,5927,NA,66000,140000,54639,7976,"Yes",7.6,7354623,19680,9,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54016",NA,44542.69152173,2
"Kenosha",2021-01-26,545243002,18.74,146821,7.354,28,1223,NA,1,40000,130000,173709,20736,NA,66000,140000,119932,12602,"No",7.6,16345212,122000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53143",NA,144337.340241533,2
"Sparta",2021-01-26,545247001,1.243,165009,1.547,4,1000,7.42,1,40000,130000,192239,9336,NA,66000,140000,137779,11531,"No",8.95,7284808,9500,13.89,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54656",NA,162746.727097659,2
"River Falls",2021-01-26,545260002,1.279,170587,2.37,1.8,1010,2.73,1,40000,130000,235838,14737,NA,66000,140000,105337,6192,"No",7.43,16843592,16000,7.7,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54022",NA,157614.933956145,2
"Merrill",2021-01-26,545261002,1.145,101896,3.868,3.06,941,NA,1,40000,130000,80529,9908,NA,66000,140000,123264,7877,"No",7.71,9471965,10000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54452",NA,99630.9522989718,2
"Plymouth",2021-01-26,545262001,1.51,58650,1.13,1.8,1614,NA,1,40000,130000,82140,10395,NA,66000,140000,35160,3875,"Yes",8.1,6221658,9000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53073",NA,53740.5098598813,2
"Wausau",2021-01-26,545263002,3.87,107980,1.09,8.2,1317,NA,1,40000,130000,156618,23316,NA,66000,140000,59343,10536,"Yes",7.5,12488760,42000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54401",NA,96406.3378310783,2
"Sun Prairie",2021-01-26,545264002,3.34,80037,1.08,6.2,1602,NA,1,40000,130000,93325,9836,NA,66000,140000,66750,6877,"No",7.4,12562777,34926,12.2,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53590",NA,78926.8252877309,2
"Platteville",2021-01-27,545237003,0.976,137090,2.774,3,1653,8.86,1,40000,130000,169196,34412,NA,66000,140000,104985,22524,"No",7.93,8297546,14000,13.03,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53818",NA,133278.062936104,2
"Hudson",2021-01-27,545239003,1.44,96996,3.624,2.2,1393,5.45,1,40000,130000,120074,14659,NA,66000,140000,73919,8737,"No",7.76,8617980,19680,7.7,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54016",NA,94211.1989415271,2
"Neopit",2021-01-27,545241001,0.1153,92692,1.15,0.17,917,3.51,1,40000,130000,106068,13813,NA,66000,140000,79315,7929,"No",6.26,3091883,1000,17,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54135",NA,91721.2266599177,2
"Kenosha",2021-01-27,545243003,19.22,39134,2.272,28,1255,NA,1,40000,130000,44499,8275,NA,66000,140000,33770,9594,"Yes",7.6,3838532,122000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53143",NA,38765.0774538114,2
"Beloit",2021-01-27,545250001,3.727,112355,3.3,11.3,1579,NA,0.625,64000,2e+05,154268,26729,NA,1e+05,220000,70442,16985,"Yes",7.5,10877915,35000,18,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53511",NA,104244.647133558,2
"Keshena",2021-01-27,545251001,0.1389,155344,1.22,0.35,890,4.15,1,40000,130000,168923,7891,NA,66000,140000,141766,16659,"No",6.52,4301103,2500,9.8,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54135",NA,154749.920898203,2
"Wolf River",2021-01-27,545253001,0.0151,55721,1.969,0.065,816,2.44,1,40000,130000,57843,3764,NA,66000,140000,53599,6448,"Yes",6.52,867821,1000,14.2,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54135",NA,55680.5797114218,2
"Rib Lake",2021-01-27,545257001,0.047,163927,3.954,0.5,1559,3.98,1,40000,130000,186274,15576,NA,66000,140000,141581,14072,"No",7.5,11915206,386,8.2,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54470",NA,162397.22655883,2
"River Falls",2021-01-27,545260003,1.279,626585,3.18,1.8,1033,4.66,1,40000,130000,812050,54506,NA,66000,140000,441120,31704,"No",7.49,7743701,16000,7.4,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54022",NA,598507.724260932,2
"Merrill",2021-01-27,545261003,1.056,132614,3.883,3.06,928,NA,1,40000,130000,106483,13154,NA,66000,140000,158746,27417,"No",7.78,17809239,10000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54452",NA,130014.423499856,2
"Plymouth",2021-01-27,545262002,1.482,121541,1.71,1.8,1597,NA,1,40000,130000,170581,14194,NA,66000,140000,72502,6672,"No",8.2,4126772,9000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53073",NA,111209.098827389,2
"Wausau",2021-01-27,545263003,3.93,183965,0.34,8.2,1480,NA,1,40000,130000,260794,46815,NA,66000,140000,107136,19141,"No",7.5,18047392,42000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54401",NA,167153.899099004,2
"Sun Prairie",2021-01-27,545264003,3.317,49111,2.74,6.2,1590,NA,1,40000,130000,57778,5483,NA,66000,140000,40444,3993,"Yes",7.4,80327831,34926,12,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53590",NA,48340.1844431732,2
"Madison",2021-01-27,545373001,36.17,1340169,2.059,56,1394,NA,1,40000,130000,1357329,76136,NA,66000,140000,1323010,84088,"No",7.73,30102158,380000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,1340059.64057202,2
"La Crosse",2021-01-28,545355001,10.12,124283,2.01,20,1670,NA,1,40000,130000,132354,19147,NA,66000,140000,116212,10570,"No",7.46,12192328,85000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54601",NA,124020.655731213,2
"Manitowoc",2021-01-28,545356001,5.543,115218,6.05,15.5,1149,NA,1,40000,130000,119330,22737,NA,66000,140000,111105,6084,"No",7.7,9069202,34450,10.6,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54220",NA,115144.08213191,2
"Oshkosh",2021-01-28,545358001,8.003,119008,3.67,20,1131,NA,1,40000,130000,123181,27736,NA,66000,140000,114834,14699,"No",7.91,13508426,67000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54902",NA,118934.296794491,2
"MMSD-P2",2021-01-28,545364001,5.92,102641,1.22,56,1678,NA,1,40000,130000,94430,11191,NA,66000,140000,110851,21754,"No",7,42743716,380000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,102311.582579882,2
"MMSD-P7",2021-01-28,545368001,3.32,117761,1.98,56,2040,NA,1,40000,130000,126682,29253,NA,66000,140000,108839,23815,"No",7.5,37437549,380000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,117422.068615742,2
"MMSD-P8",2021-01-28,545369001,6.33,66612,4.19,56,1868,NA,1,40000,130000,70898,9105,NA,66000,140000,62327,1700,"Yes",7.5,12798174,380000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,66474.5037288734,2
"MMSD-P11",2021-01-28,545370001,9.07,1102760,1.98,56,1793,NA,1,40000,130000,1107390,83112,NA,66000,140000,1098130,57539,"No",7.5,24862163,380000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,1102750.28029922,2
"MMSD-P18",2021-01-28,545371001,12.43,255710,2.14,56,1910,NA,1,40000,130000,271733,41945,NA,66000,140000,239687,20673,"No",7,12148256,380000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,255207.499049303,2
"Madison",2021-01-28,545372001,37.07,248747,2.398,56,1510,NA,1,40000,130000,231625,25211,NA,66000,140000,265869,31118,"No",7.74,41230863,380000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,248157.021107604,2
"Sun Prairie",2021-01-28,545624001,3.462,156857,1.596,6.2,1471,NA,1,40000,130000,179061,21960,NA,66000,140000,134654,21921,"No",7.4,15607528,34926,12.2,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53590",NA,155278.072804888,2
"River Falls",2021-01-28,545631001,1.321,337552,2.195,1.8,874,1.81,1,40000,130000,393161,47164,NA,66000,140000,281944,29314,"No",7.39,14407212,16000,8.6,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54022",NA,332940.512680569,2
"Wausau",2021-01-28,545634001,3.9,35895,0.426,8.2,1313,NA,1,40000,130000,54498,6733,NA,66000,140000,17292,5020,"Yes",7,22414059,42000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54401",NA,30698.1989048218,2
"Hudson",2021-01-28,545667001,1.409,187823,3.511,2.2,1180,6.71,1,40000,130000,196492,24294,NA,66000,140000,179155,21478,"No",7.6,5761874,19680,10.1,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54016",NA,187623.35744784,2
